----------------------------
2022-12-18 12:49:54.642,FileLog,Open,sim\logfilesim.A1.2022-12-18.12-49-54.csv
2022-12-18 12:49:54.874,RobotPreferences,Sticky Faults Logged,
2022-12-18 12:49:54.878,Disabled,Robot disabled,
2022-12-18 12:49:54.888,CAN Bus,Sticky Faults Logged,
